team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
Eagles,PHI,12,,TE,553386387,Grant Calcaterra,4,0,2067,81,1,6.00,2,100.00,0,22,0,10,40,5.00,20.00,40.00
Eagles,PHI,12,,TE,553387419,Brevin Jordan,5,0,1379,9,6,31.70,14,100.00,0,24,1,37,117,2.64,8.36,13.00
Eagles,PHI,12,,WR,553388435,DeVonta Smith,5,0,1369,6,12,125.90,46,95.83,2,30,5,153,499,3.33,10.85,41.58
Eagles,PHI,12,,TE,553387986,Albert Okwuegbunam,6,0,490,86,1,1.40,1,100.00,0,4,0,0,4,0.00,4.00,1.33
Eagles,PHI,12,,WR,553386305,A.J. Brown,7,0,9397,11,12,137.50,47,92.16,4,79,5,188,605,4.00,12.87,50.42
Eagles,PHI,12,,HB,553386125,Saquon Barkley,8,0,8813,26,11,71.70,31,93.94,2,42,2,286,287,9.23,9.26,23.92
Falcons,ATL,13,,WR,553387176,Jimmy Silva,0,0,3939,88,4,27.60,5,100.00,0,26,3,20,46,4.00,9.20,4.18
Falcons,ATL,13,,TE,553388488,Julian Gomes,0,0,4066,87,7,23.30,7,77.78,2,36,1,52,103,7.43,14.71,9.36
Falcons,ATL,13,,WR,553388801,Casey Washington,2,0,10984,82,1,3.60,1,100.00,0,26,0,2,26,2.00,26.00,2.36
Falcons,ATL,13,,HB,553388243,Bijan Robinson,3,0,2613,7,11,107.20,40,95.24,2,47,4,408,432,10.20,10.80,39.27
Falcons,ATL,13,,WR,553387601,Drake London,4,0,1813,5,10,104.10,37,92.50,3,33,2,109,551,2.95,14.89,50.09
Falcons,ATL,13,,HB,553386039,Tyler Allgeier,4,0,1132,25,3,6.60,4,100.00,0,14,0,38,26,9.50,6.50,2.36
Falcons,ATL,13,,TE,553388113,Kyle Pitts,5,0,1375,8,11,167.90,55,91.67,5,52,5,273,829,4.96,15.07,75.36
Falcons,ATL,13,,TE,553388952,Charlie Woerner,6,0,683,89,5,7.80,4,80.00,1,21,0,14,38,3.50,9.50,3.45
Falcons,ATL,13,,WR,553387838,Darnell Mooney,6,0,469,1,11,110.60,44,89.80,5,28,2,134,546,3.05,12.41,49.64
Falcons,ATL,13,,WR,553387163,KhaDarel Hodge,8,0,130,4,4,61.20,13,86.67,2,27,5,41,182,3.15,14.00,16.55
Giants,NYG,15,,HB,553388407,Cam Skattebo,1,0,10732,44,10,92.70,26,96.30,1,82,5,380,367,14.62,14.12,33.36
Giants,NYG,15,,WR,553388742,Devaughn Vele,2,0,10278,14,2,13.30,6,100.00,0,26,0,19,73,3.17,12.17,6.64
Giants,NYG,15,,WR,553387906,Malik Nabers,2,0,10192,1,10,124.10,27,96.43,1,87,6,184,611,6.81,22.63,61.10
Giants,NYG,15,,TE,553387360,Theo Johnson,2,0,10130,84,10,87.60,38,88.37,5,53,1,179,436,4.71,11.47,43.60
Giants,NYG,15,,HB,553386903,Jahmyr Gibbs,3,0,2564,3,7,57.90,15,100.00,0,51,3,209,249,13.93,16.60,22.64
Giants,NYG,15,,WR,553387232,Jalin Hyatt,3,0,2219,13,10,104.00,35,97.22,1,54,5,207,390,5.91,11.14,35.45
Giants,NYG,15,,TE,553388964,Jelani Woods,4,0,2050,86,3,6.70,3,100.00,0,16,0,12,37,4.00,12.33,4.63
Giants,NYG,15,,HB,553388886,Javonte Williams,5,0,1118,36,3,14.80,8,100.00,0,17,0,46,68,5.75,8.50,8.50
Giants,NYG,15,,WR,553386583,Gabe Davis,6,0,238,89,1,16.40,5,100.00,0,17,1,15,54,3.00,10.80,18.00
Giants,NYG,15,,WR,553388418,Darius Slayton,7,0,9631,18,11,81.60,25,100.00,0,29,5,107,266,4.28,10.64,24.18
